eventid,ccode,id,countryname,startdate,enddate,stday,stmo,styr,eday,emo,eyr,duration,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,acd_questionable,notes,female_event,lgbtq_issue,coder,latitude,longitude,geo_comments,location_precision
400019,40,19,Cuba,1-Jul-93,1-Jul-93,1,7,1993,1,7,1993,1,4,0,Citizens,,,Government,,1,0,3,0,0,Cojimar,Cojimar,1,3,3,10,,,Cojimar residents hurled stones and shouted anti-government slogans to protest shooting of refugees.,AFP,0,Coded as an etype 1 because participation in protest was obligatory,0,0,MW,23.1647,-82.292953,,
400020,40,20,Cuba,2-Aug-93,2-Aug-93,2,8,1993,2,8,1993,1,9,0,Citizens,,,Citizens,,0,0,-99,1,0,Unknown,Unknown,1,-99,-99,14,,,"Youths boarded bus, beat one man and threw teenager from moving bus, killing him.",AFP,0,Coded as an etype 1 because participation in protest was obligatory,0,0,MW,21.950001,-79.550003,Unknown location,no
400021,40,21,Cuba,13-Aug-93,16-Aug-93,13,8,1993,16,8,1993,4,2,0,U.S. Protestant pastors,,,U.S. government,,0,0,-99,0,0,Havana,Havana,1,1,1,8,10,,Group of pastors fasted outside U.S. interest section to protest detention of private aid shipment in the U.S.,AFP,0,"Dates not given, so estimated. Article refers to multiple events, but coded here as one event due to lack of dates.  Coded as an etype 1 because participation in protest was obligatory",0,0,MW,23.05407,-82.345192,,
400022,40,22,Cuba,15-Aug-93,15-Aug-93,15,8,1993,15,8,1993,1,4,0,Citizens,,,Government,,1,0,-99,0,0,Havana,Havana,1,1,1,3,,,Citizens have stoned state stores and attempted to set fires during prolonged power blackouts.,AFP,0,,0,0,MW,23.05407,-82.345192,,
400023,40,23,Cuba,15-Sep-93,15-Sep-93,15,9,1993,15,9,1993,1,2,0,Citizens,,,Government,,1,0,-99,0,0,Regla,Regla,1,3,3,10,,,Citizens demonstrated the killings of Cubans trying to flee the country.,AFP,0,"Date not given, so estimated here.",0,0,MW,23.13167,-82.336388,,
400024,40,24,Cuba,20-Sep-93,20-Sep-93,20,9,1993,20,9,1993,1,8,0,Citizens,,,Military officers,,1,0,-99,0,0,Havana,Havana,1,1,1,10,,,Angry civilians have stoned officers in streets according to former air force pilot.,AP,0,"Dates not given, so estimated. Article refers to multiple events, but coded here as one event due to lack of dates.  Coded as separate event from grandmother protest a day earlier because it is not clear if this one was organized by the governm",0,0,MW,23.05407,-82.345192,,
400025,40,25,Cuba,12-Oct-93,12-Oct-93,12,10,1993,12,10,1993,1,7,0,Security forces,,,Citizens,,0,0,1,1,0,Havana,Havana,1,1,1,11,,,"Security forces fired on tractor towing a boat hiding citizens attempting to leave Cuba, 1 killed.",AFP,0,coded as Havana as it is closest location.,0,0,MW,23.05407,-82.345192,,
400026,40,26,Cuba,14-Oct-93,15-Oct-93,14,10,1993,15,10,1993,2,2,0,Citizens,,,Government,,1,0,2,0,1,Unknown,Unknown,1,-99,-99,10,,,Demonstrations against government broke out at funeral of citizen killed escaping Cuba and the following day.,AFP,0,,0,0,MW,21.950001,-79.550003,Unknown location,no
400027,40,27,Cuba,15-Jan-94,13-Feb-94,15,1,1994,13,2,1994,30,4,0,Cuban citizens,,,Belgian ambassador residence,,0,0,1,0,0,Havana,Havana,1,1,1,10,,,Nine citizens broke into Belgian ambassador residence seeking asylum.,AP,0,"Dates/duration not explicitly stated, estimated here. Issue not explicitly stated, but later received visas so appears asylum-related.",0,0,MW,23.05407,-82.345192,,
400028,40,28,Cuba,11-Mar-94,11-Mar-94,11,3,1994,11,3,1994,1,8,0,Alpha 66 - Cuban exile paramilitary group,,,Guitart Cayo Coco resort,Government,1,0,-99,0,0,Camaguey province,Camaguey province,1,6,6,10,8,12,Group fired on hotel from a boat in campaign to cripple tourism industry.,AP,0,Coded as an etype 1 because government organized the protests,0,0,MW,21.35,-77.849998,,
400029,40,29,Cuba,15-May-94,15-May-94,15,5,1994,15,5,1994,1,8,0,PUND paramilitary group,,,Government,,1,0,-99,0,0,Unknown,Unknown,1,-99,-99,10,,,Group claims to have infiltrated Cuban military base.,AP,0,"Date not explicitly given, so estimated here.  Coded as an etype 1 because government organized the protest; coded as separate event because more than ten days had passed since previous protests",0,0,MW,21.950001,-79.550003,Unknown location,no
400030,40,30,Cuba,27-May-94,9-Jun-94,27,5,1994,9,6,1994,14,4,2,Cuban citizens,,,Belgian ambassador residence,,0,0,3,0,0,Havana,Havana,1,1,1,10,,,"Citizens invaded residence of Belgian ambassador in effort to win asylum, held protest appealing for help.",AP,0,"Dates/duration not explicitly stated, estimated here.",0,0,MW,23.05407,-82.345192,,
400031,40,31,Cuba,4-Jun-94,4-Jun-94,4,6,1994,4,6,1994,1,7,0,Cuban coast guard,,,Refugees,,0,0,-99,0,0,Mariel,Mariel,1,3,3,11,,,"Coast guard fired on freighter of refugees fleeing Cuba, claiming kidnapping and piracy.",AP,0,"Event occurred in open water, closest to Mariel.",0,0,MW,22.99361,-82.753891,,
400032,40,32,Cuba,13-Jul-94,13-Jul-94,13,7,1994,13,7,1994,1,7,0,Military,,,Refugees,,0,0,-99,41,0,At sea,At sea,1,-99,-99,11,,,"Tugboat carrying refugees sank it was rammed by fireboats and sprayed with hoses, knocking people overboard.",Both,0,Conflicting reports from survivors and government.,0,0,MW,24.010509,-81.842651,Location is in the ocean,no
400033,40,33,Cuba,23-Jul-94,5-Aug-94,23,7,1994,5,8,1994,14,8,0,Hijackers,,,Police,Boats to allow escape,1,0,-99,2,0,Havana,Havana,1,1,1,10,,,"Hijackers killed 2 policeman in attempt to seize ferryboat to escape Cuba, 4 attempts occurred over 2 weeks.",AP,0,"Didn't clearly state this occurred in Havana, but appears to be the case.",0,0,MW,23.05407,-82.345192,,
400034,40,34,Cuba,5-Aug-94,5-Aug-94,5,8,1994,5,8,1994,1,4,0,Citizens,,,Government,Communist Party militants,1,0,5,1,2,Havana,Havana,1,1,1,10,,,"Demonstrators rioted, clashed with government supporters after boat hijackings by people attempting to flee, stores and hotels attacked, policeman killed.",Both,0,,0,0,MW,23.05407,-82.345192,,
400035,40,35,Cuba,8-Aug-94,8-Aug-94,8,8,1994,8,8,1994,1,8,0,Hijackers,,,Government,,1,0,2,1,0,Mariel,Mariel,1,3,3,10,,,"Citizens hijacked a navy boat to flee to U.S., 4 sailors forced off boat and 1 killed in process.",AP,0,Conflciting reports over whether sailor was killed.  Coded as an etype 7 because dissidents were arrested to prevent them from protesting at dissident's trial; event  dates approximated,0,0,MW,22.99361,-82.753891,,
400036,40,36,Cuba,14-Aug-94,15-Aug-94,14,8,1994,15,8,1994,2,4,0,Citizens,,,Maltese oil tanker,,0,0,3,0,0,Mariel,Mariel,1,3,3,10,,,"700 citizens occupied an oil tanker in effort to flee to U.S., takeover ended when all left ship voluntarily.",AP,0,"Not explicitly stated that event occurred in Mariel, but seems to be the case.  Coded as an etype 7 because dissidents were arrested to prevent them from protesting at dissident's trial; event  dates approximated",0,0,MW,22.99361,-82.753891,,
400037,40,37,Cuba,29-Aug-94,1-Sep-94,29,8,1994,1,9,1994,4,2,0,Citizens,,,U.S. government,Cuban government,1,0,2,0,0,Havana,Havana,1,1,1,8,10,,Hunger strikers camped outside U.S. government offices in attempt to get permission to emigrate.,Both,0,"Not clear when hunger strike ended, used dateline as enddate.  Coded as an etype 7 because dissidents were arrested to prevent them from protesting at dissident's trial; event  dates approximated",0,0,MW,23.05407,-82.345192,,
400038,40,38,Cuba,15-Sep-94,15-Sep-94,15,9,1994,15,9,1994,1,7,0,Border guards,,,Citizen,,0,0,-99,1,0,Santiago de Cuba,Santiago de Cuba,1,2,2,11,,,A person was shot after jumping in water to help makeshift raft during exodus from Cuba.,AFP,0,"Exact date not given, estimated here. Not clear who shot citizen but implied that it was border guards.",0,0,MW,20.01693,-75.830147,,
400039,40,39,Cuba,15-Oct-94,15-Oct-94,15,10,1994,15,10,1994,1,8,0,Anti-Castro commandos,,,Cuban security forces,,1,0,1,1,0,Cayo Santa Maria,Cayo Santa Maria,1,3,3,10,,,"Raid by anti-Castro group intercepted by security forces, fisherman died during raid.",AFP,0,Cayo Santa Maria.,0,0,MW,22.6495,-78.979729,,
400040,40,40,Cuba,13-Jul-95,13-Jul-95,13,7,1995,13,7,1995,1,1,0,Flotilla of Cuban exiles,,,Cuban gunship,,0,0,-99,0,1,At sea,At sea,1,-99,-99,11,,,"Boat that was part of flotilla of Cuban exiles on protest trip to a memorial was rammed by gunship, several injured.",AP,0,,0,0,MW,24.010509,-81.842651,Location is in the ocean,no
400041,40,41,Cuba,15-Jul-95,15-Jul-95,15,7,1995,15,7,1995,1,1,0,U.S.-based Cuban exiles belonging to group Brothers to the Rescue,,,Government,,1,0,-99,0,0,Havana,Havana,1,1,1,10,,,"Exiles flew over Havana distributing leaflets criticizing Castro, urging peaceful protests against regime.",AP,0,"Exact date not given, estimated here.",0,0,MW,23.05407,-82.345192,,
400042,40,42,Cuba,5-Aug-95,5-Aug-95,5,8,1995,5,8,1995,1,2,0,Citizens,,,U.S. government,,0,0,6,0,0,Havana,Havana,1,1,1,8,11,,Citizens demonstrated in support of Castro and to protest U.S. trade embargo.,AP,0,,0,0,MW,23.05407,-82.345192,,
400043,40,43,Cuba,9-Jan-96,9-Jan-96,9,1,1996,9,1,1996,1,1,0,U.S.-based Cuban exiles belonging to group Brothers to the Rescue,,,Government,,1,0,-99,0,0,Havana,Havana,1,1,1,10,,,"Exiles flew over Havana distributing leaflets criticizing Castro, urging peaceful protests against regime.",Both,0,,0,0,MW,23.05407,-82.345192,,
400044,40,44,Cuba,13-Jan-96,13-Jan-96,13,1,1996,13,1,1996,1,1,0,U.S.-based Cuban exiles belonging to group Brothers to the Rescue,,,Government,,1,0,-99,0,0,Havana,Havana,1,1,1,10,,,"Exiles flew over Havana distributing leaflets criticizing Castro, urging peaceful protests against regime.",Both,0,,0,0,MW,23.05407,-82.345192,,
400045,40,45,Cuba,24-Feb-96,24-Feb-96,24,2,1996,24,2,1996,1,7,0,Cuban military aircraft,,,U.S. civilian planes belonging to refugee group Brothers to the Rescue,,0,0,-99,4,0,At sea,At sea,1,-99,-99,11,,,2 civilian planes shot down by military as they flew toward Cuban coast.,Both,0,"Conflicting accounts regarding whether planes were in Cuban airspace when they were shot down, Cuba later dropped claim that event took place in its waters.",0,0,MW,24.010509,-81.842651,Location is in the ocean,no
400046,40,46,Cuba,12-Mar-96,12-Mar-96,12,3,1996,12,3,1996,1,1,0,Members of Union of Young Communists,Victoria Velaquez - secretary general of Union of Young Communists,,U.S. government,,0,0,2,0,0,Havana,Havana,1,1,1,8,,,Demonstrators protested U.S. sanctions and proclaimed they would only strengthen Cuban resolve.,AP,0,"AFP claims number of demonstrators was 40,000, but this seems to be a mistake in their reporting",0,0,MW,23.05407,-82.345192,,
400047,40,47,Cuba,1-May-96,1-May-96,1,5,1996,1,5,1996,1,1,0,Citizens,,,U.S. government,,0,0,6,0,0,Havana,Havana,1,1,1,8,,,Citizens took part in May Day march to protest U.S. Helms-Burton Act that undercuts foreign investment in Cuba.,AP,0,,0,0,MW,23.05407,-82.345192,,
400048,40,48,Cuba,27-Nov-96,28-Nov-96,27,11,1996,28,11,1996,2,4,0,Pro-government workers and students,,,Spanish government,,0,0,3,0,0,Havana,Havana,1,1,1,8,11,,Armed citizens demonstrated and blocked access to Spanish Embassy over worsening relations between Spain and Cuba.,AP,0,"Not clear exactly when event started, duration also estimated.",0,0,MW,23.05407,-82.345192,,
400049,40,49,Cuba,3-Dec-96,3-Dec-96,3,12,1996,3,12,1996,1,4,0,Vandals,,,Spanish consul Eduardo Cerro,,0,0,-99,0,0,Havana,Havana,1,1,1,14,,,Vandals stole TV antenna and flattened car tires of Spanish consul.,AP,0,,0,0,MW,23.05407,-82.345192,,
400050,40,50,Cuba,29-Apr-97,29-Apr-97,29,4,1997,29,4,1997,1,9,0,Unknown bombers,,,Melia-Cohiba Hotel,Citizens,0,0,-99,0,0,Havana,Havana,1,1,1,14,,,"Reports made of bombings at Melia-Cohiba hotel, denied by Cuban government.",AP,0,"Exact date not given, estimated here.",0,0,MW,23.05407,-82.345192,,
400051,40,51,Cuba,2-May-97,2-May-97,2,5,1997,2,5,1997,1,9,0,Unknown bombers,,,Tourist hotels,Citizens,0,0,-99,0,0,Veradero,Veradero,1,3,3,14,,,"Reports made of bombings at tourist hotels, denied by Cuban government.",AP,0,"Exact date not given, estimated here. Not clear if directed at government, but appears to target tourism.",0,0,MW,23.179859,-81.18853,,
400052,40,52,Cuba,15-May-97,15-May-97,15,5,1997,15,5,1997,1,9,0,Unknown attackers,,,Dissident Cuban photographers,,0,0,-99,0,0,Unknown,Unknown,1,-99,-99,11,,,Photographers attacked following seizure of pictures by Cuban auhorities.,AFP,0,"Exact date not given, estimated here. Not clear if Cuban authorities were attackers or not.",0,0,MW,21.950001,-79.550003,Unknown location,no
400053,40,53,Cuba,12-Jul-97,12-Jul-97,12,7,1997,12,7,1997,1,9,0,Salvadoran national Raul Ernesto Cruz,"Luis Posada Carilles - financier, Francisco Chavez - recruited bombers",,Hotel Nacional & Hotel Capri,Citizens,0,0,-99,0,0,Havana,Havana,1,1,1,2,,,"Bombs were exploded at two top Havana hotels, Cuban government claims U.S. involvement and attempt to undermine tourism. Alpha 66 had contact with those responsible for attacks.",Both,0,"Not clear if directed at government, but appears to target tourism.",0,0,MW,23.05407,-82.345192,,
400054,40,54,Cuba,5-Aug-97,5-Aug-97,5,8,1997,5,8,1997,1,9,0,Unknown bombers,Exile group Alpha 66,,Melia-Cohiba Hotel,Citizens,0,0,-99,0,0,Havana,Havana,1,1,1,2,,,"Explosion occurred at Havana's Melia-Cohiba Hotel, government claims bombing was attempt to undermine tourism and that U.S. was involved. Alpha 66 had contact with those responsible.",AFP,0,"Not clear if directed at government, but appears to target tourism.",0,0,MW,23.05407,-82.345192,,
400055,40,55,Cuba,4-Sep-97,4-Sep-97,4,9,1997,4,9,1997,1,9,0,"Salvadoran nationals Raul Ernesto Cruz and Otto Rene Rodriguez Llerna and Guatemalan nationals Maria Elena Gonzalez Meza, Nader Kamal Musalam Barakat, Jazid Ivan Fernandez Mendoza","Luis Posada Carilles - financier, Francisco Chavez - recruited bombers",,"Copacabana, Chateau, Triton hotels and a bar",Citizens,0,0,-99,1,0,Havana,Havana,1,1,1,2,,,"Explosions rocked 3 Havana hotels, one tourist killed. Govt claims U.S. involvement.",Both,0,"Not clear if directed at government, but appears to target tourism. Conflicting reports regarding who actors were for this event.",0,0,MW,23.05407,-82.345192,,
400056,40,56,Cuba,25-Sep-97,25-Sep-97,25,9,1997,25,9,1997,1,4,0,Two Cuban nationals,,,Cuban border guards,,1,0,1,0,0,At sea,At sea,1,-99,-99,10,,,Two men hijacked border guard vessel to try to reach Florida.,AFP,0,"Exact date not given, estimated here.",0,0,MW,24.010509,-81.842651,Location is in the ocean,no
400057,40,57,Cuba,9-Oct-97,7-Feb-98,9,10,1997,7,2,1998,122,1,0,Party for Human Rights,"6 dissidents - (Roxana) Carpio Mata, Duala Carpio, Jose Manuel Llera, Lilian Meneses, Iliana Penalver, Jose Antonio Alvarado",,Government,,1,0,1,0,1,Santa Clara,Santa Clara,1,2,2,10,,,Members of human rights group on hunger strike to protest prosecution of one of party's leaders.,Both,0,"Enddate not clear, so is estimated. Roxana Carpio Mata ended fast early because of pregnancy. Party for Human Rights referred to earlier as Pro-Human Rights Party. Other dissident names also different.",0,0,MW,22.405279,-79.95417,,
400058,40,58,Cuba,1-May-98,1-May-98,1,5,1998,1,5,1998,1,1,0,Citizens,Communist workers,,U.S. government,,0,0,6,0,0,Havana,Havana,1,1,1,8,11,,"Citizens marched in May Day rally, also denounced U.S. economic embargo.",AP,0,,0,0,MW,23.05407,-82.345192,,
400059,40,59,Cuba,15-Aug-98,15-Aug-98,15,8,1998,15,8,1998,1,2,0,Dissidents,,,Government,,1,0,2,0,1,Havana,Havana,1,1,1,10,,,Dissidents protested at sentencing of fellow dissident Reinaldo Alfaro Garcia for providing false information critical of Cuba.,AP,0,"Doesn't explicitly state that event took place in Havana, but appears to be the case. Date estimatedÃƒÅ’ÃƒÂ_arrests occurred a month later.",0,0,MW,23.05407,-82.345192,,
400060,40,60,Cuba,8-Sep-98,8-Sep-98,8,9,1998,8,9,1998,1,2,0,Roman Catholic citizens,,,Unspecified,,1,0,-99,0,1,Havana,Havana,1,1,1,6,10,,"Citizens participated in Catholic religious procession, people prevented from leaving house to join procession.",AP,0,"Target may be Cuban government, but not made clear in article.",0,0,MW,23.05407,-82.345192,,
400061,40,61,Cuba,2-Nov-98,2-Nov-98,2,11,1998,2,11,1998,1,1,0,,,,U.S. government,,0,0,3,0,0,Havana,Havana,1,1,1,8,,,Japanese activists protested the U.S. embargo against Cuba.,AFP,0,,0,0,MW,23.05407,-82.345192,,
400062,40,62,Cuba,27-Nov-98,27-Nov-98,27,11,1998,27,11,1998,1,2,4,Dissidents,Dr. Oscar Elias Vicel - president of dissident group Lawton Foundation,Norberto Miranda of College of Pedagogues,Government,,1,0,-99,0,1,Havana,Havana,1,1,1,10,,,"Dissidents protesting trial of journalist were confronted by government supporters, leading to disturbance between the 2 groups.",AP,0,,0,0,MW,23.05407,-82.345192,,
400063,40,63,Cuba,10-Dec-98,10-Dec-98,10,12,1998,10,12,1998,1,2,4,Protestor,,,Communist party activists,,1,0,-99,0,0,Havana,Havana,1,1,1,10,,,Man shouting human rights slogans was attacked by Communist party activists.,AFP,0,,0,0,MW,23.05407,-82.345192,,
400064,40,64,Cuba,10-Dec-98,10-Dec-98,10,12,1998,10,12,1998,1,1,0,Relatives of four jailed dissidents,Magaly de Armas - relative,,Government,,1,0,-99,0,0,Havana,Havana,1,1,1,10,,,Relatives of jailed dissidents held press conference demanding that political prisoners be released and to mark 50th anniversary of UDHR.,AFP,0,"Doesn't explicitly state Havana as location, but appears to be case. Can press conference be demonstration?",0,0,MW,23.05407,-82.345192,,
400065,40,65,Cuba,24-Jan-98,24-Jan-98,24,1,1998,24,1,1998,1,1,0,The Democracy Movement,,,Government,,1,0,2,0,0,Cuban waters,Cuban waters,1,6,6,10,,,About 40 members of the Cuban exile group The Democracy Movement protested on the edge of Cuban water; they held a prayer ceremony for Cuban political prisoners and dropped flowers before turning around.,AP,0,,0,0,BS,24.010509,-81.842651,Location is in the ocean,no
400066,40,66,Cuba,5-Jul-98,6-Jul-98,5,7,1998,6,7,1998,2,1,0,The Democracy Movement,,,Government,United States,1,0,-99,0,0,Cuban waters,Cuban waters,1,6,6,10,8,,"In a protest aimed at the United States as well as Fidel Castro's government, a raft was launched by the Democracy Movement containing food, soap and other supplies about 100 miles from Cuba's coast and entered Cuban waters the next day.",AP,0,Exact dates of arrests not specified; start and end date approximated,0,0,BS,24.010509,-81.842651,Location is in the ocean,no
400067,40,67,Cuba,15-Aug-98,15-Aug-98,15,8,1998,15,8,1998,1,2,0,Protesters,,,Government,,1,0,2,0,0,Havana,Havana,1,1,1,10,,,Protesters yelled 'Down with the government'' and ''Down with Castro'' outside a court where another dissident was being sentenced.,AP,0,,0,0,BS,23.05407,-82.345192,,
400068,40,68,Cuba,7-Sep-98,8-Sep-98,7,9,1998,8,9,1998,2,7,0,Police,,,Political dissidents,,0,0,2,0,0,Havana,Havana,1,1,1,11,,,13 political dissidents were arrested and held for a day or so without being charged and then were released; the government was trying to prevent the dissidents from protesting at a Roman Catholic religious procession.,AP,0,,0,0,BS,23.05407,-82.345192,,
400069,40,69,Cuba,2-Nov-98,2-Nov-98,2,11,1998,2,11,1998,1,1,0,Japanese Peace Activists,,,United States,,0,0,3,0,0,Havana,Havana,1,1,1,8,10,,About 750 members of a Japan-based non-government organization that advocates peace protested against the U.S. embargo.,AFP,0,,0,0,BS,23.05407,-82.345192,,
400070,40,70,Cuba,27-Nov-98,27-Nov-98,27,11,1998,27,11,1998,1,1,4,Dissidents,College of Pedagogues,,Government,,1,0,2,0,1,Havana,Havana,1,1,1,10,,,About a dozen dissidents protested the trial of an independent journalist.,AP,0,,0,0,BS,23.05407,-82.345192,,
400071,40,71,Cuba,10-Dec-98,10-Dec-98,10,12,1998,10,12,1998,1,2,4,Protester,,,Government,,1,0,1,0,0,Havana,Havana,1,1,1,10,,,A protester shouting human rights slogans was attacked by Communist Party activists.,AFP,0,,0,0,BS,23.05407,-82.345192,,
