DEPT,MUNI,UNE_NUM_VOTES,PERC_UNE,FCN_NUM_VOTES,PERC_FCN
Chimaltenango,Parramos,553,12.38%,3914,87.62%
Chimaltenango,Zaragoza,950,14.15%,5765,85.85%
Chimaltenango,El Tejar,850,11.20%,6738,88.80%
El Progreso*,Nivel Departamental,15319,26.44%,42616,73.56%
El Progreso*,Guastatoya,1791,18.04%,8136,81.96%
El Progreso*,Morazán*,1564,26.63%,4309,73.37%
El Progreso*,San Agustín Acasaguastlán,3393,30.61%,7692,69.39%
El Progreso*,San Cristóbal Acasaguastlán,674,26.54%,1866,73.46%
El Progreso*,El Jícaro,1338,30.84%,3000,69.16%
El Progreso*,Sansare,2009,41.24%,2862,58.76%
El Progreso*,Sanarate,3009,21.98%,10683,78.02%
El Progreso*,San Antonio La Paz,1541,27.47%,4068,72.53%
Escuintla,Nivel Departamental,59317,29.47%,141963,70.53%
Escuintla,Escuintla,12145,28.60%,30324,71.40%
Escuintla,Santa Lucía Cotzumalguapa,8128,25.51%,23740,74.49%
Escuintla,La Democracia,2462,27.17%,6599,72.83%
Escuintla,Siquinalá,1096,16.35%,5606,83.65%
Escuintla,Masagua,4421,34.50%,8392,65.50%
Escuintla,Tiquisate,4707,32.05%,9980,67.95%
Escuintla,La Gomera,3641,23.81%,11652,76.19%
Escuintla,Guanagazapa,2248,50.32%,2219,49.68%
Escuintla,San José,6710,40.30%,9940,59.70%
Escuintla,Iztapa,2620,38.18%,4243,61.82%
Escuintla,Palin,3988,23.54%,12951,76.46%
Escuintla,San Vicente Pacaya,2111,38.54%,3367,61.46%
Escuintla,Nueva Concepción,5040,28.02%,12950,71.98%
Santa Rosa*,Nivel Departamental,38103,33.16%,76798,66.84%
Santa Rosa*,Cuilapa,3562,30.69%,8043,69.31%
Santa Rosa*,Barberena,6547,35.85%,11716,64.15%
Santa Rosa*,Santa Rosa De Lima,970,18.33%,4321,81.67%
Santa Rosa*,Casillas,1002,17.75%,4643,82.25%
Santa Rosa*,San Rafael Las Flores,1497,46.30%,1736,53.70%
Santa Rosa*,Oratorio,2012,31.07%,4464,68.93%
Santa Rosa*,San Juan Tecuaco,1840,52.53%,1663,47.47%
Santa Rosa*,Chiquimulilla,5424,32.66%,11184,67.34%
Santa Rosa*,Taxisco,3071,33.25%,6164,66.75%
Santa Rosa*,Santa María Ixhuatán,2506,40.27%,3717,59.73%
Santa Rosa*,Guazacapán,2243,36.01%,3985,63.99%
Santa Rosa*,Santa Cruz Naranjo,1344,28.30%,3405,71.70%
Santa Rosa*,Pueblo Nuevo Viñas*,3544,40.42%,5223,59.58%
Santa Rosa*,Nueva Santa Rosa,2541,28.00%,6534,72.00%
Sololá*,Nivel Departamental,53243,41.50%,75044,58.50%
Sololá*,Sololá,7478,33.63%,14756,66.37%
Sololá*,San José Chacayá,767,45.09%,934,54.91%
Sololá*,Santa María Visitación,495,50.30%,489,49.70%
Sololá*,Santa Lucía Utatlán,1336,23.30%,4399,76.70%
Sololá*,Nahualá,13579,54.65%,11270,45.35%
Sololá*,Santa Catarina Ixtahuacán,10120,54.58%,8420,45.42%
Sololá*,Santa Clara La Laguna*,928,25.12%,2767,74.88%
Sololá*,Concepción,314,34.02%,609,65.98%
Sololá*,San Andrés Semetabaj,1220,38.14%,1979,61.86%
Sololá*,Panajachel,1412,26.94%,3829,73.06%
Sololá*,Santa Catarina Palopó*,756,41.29%,1075,58.71%
Sololá*,San Antonio Palopó,859,29.91%,2013,70.09%
Sololá*,San Lucas Tolimán,2945,30.55%,6695,69.45%
Sololá*,Santa Cruz La Laguna,849,57.99%,615,42.01%
Sololá*,San Pablo La Laguna,1476,55.47%,1185,44.53%
Sololá*,San Marcos La Laguna,348,37.99%,568,62.01%
Sololá*,San Juan La Laguna,2497,51.25%,2375,48.75%
Sololá*,San Pedro La Laguna,1736,35.72%,3124,64.28%
Sololá*,Santiago Atitlán,4128,34.20%,7942,65.80%
Totonicapán,Nivel Departamental,29941,31.60%,64805,68.40%
Totonicapán,Totonicapán,11027,32.90%,22485,67.10%
Totonicapán,San Cristóbal Totonicapán,2094,20.32%,8211,79.68%
Totonicapán,San Francisco El Alto,2904,25.17%,8635,74.83%
Totonicapán,San Andrés Xecul,2193,28.90%,5396,71.10%
Totonicapán,Momostenango,4869,27.62%,12761,72.38%
Totonicapán,Santa María Chiquimula,3783,52.26%,3456,47.74%
Totonicapán,Santa Lucía La Reforma,2258,50.33%,2228,49.67%
Totonicapán,San Bartolo,813,33.24%,1633,66.76%
Quetzaltenango,Nivel Departamental,56889,26.56%,157337,73.44%
Quetzaltenango,Quetzaltenango,9478,15.75%,50691,84.25%
Quetzaltenango,Salcajá,778,11.31%,6099,88.69%
Quetzaltenango,Olintepeque,666,10.33%,5784,89.67%
Quetzaltenango,San Carlos Sija,830,13.28%,5418,86.72%
Quetzaltenango,Sibilia,181,9.49%,1726,90.51%
Quetzaltenango,Cabricán,3608,54.16%,3054,45.84%
Quetzaltenango,Cajolá,1168,39.08%,1821,60.92%
Quetzaltenango,San Miguel Sigüilá,517,27.81%,1342,72.19%
Quetzaltenango,Ostuncalco,2612,22.36%,9068,77.64%
Quetzaltenango,San Mateo,278,11.43%,2155,88.57%
Quetzaltenango,Concepción Chiquirichapa,957,27.54%,2518,72.46%
Quetzaltenango,San Martín Sacatepéquez,1481,29.03%,3620,70.97%
Quetzaltenango,Almolonga,1539,28.04%,3949,71.96%
Quetzaltenango,Cantel,1451,13.99%,8920,86.01%
Quetzaltenango,Huitán,1783,65.70%,931,34.30%
Quetzaltenango,Zunil,1197,26.23%,3366,73.77%
Quetzaltenango,Colomba,4855,39.80%,7344,60.20%
Quetzaltenango,San Francisco La Unión,423,25.82%,1215,74.18%
Quetzaltenango,El Palmar,2966,37.94%,4851,62.06%
Quetzaltenango,Coatepeque,11141,38.53%,17776,61.47%
Quetzaltenango,Génova,5661,54.92%,4646,45.08%
Quetzaltenango,Flores Costa Cuca,2282,40.87%,3302,59.13%
Quetzaltenango,La Esperanza,649,10.80%,5360,89.20%
Quetzaltenango,Palestina De Los Altos,388,14.01%,2381,85.99%
Suchitepéquez*,Nivel Departamental,54030,34.82%,101133,65.18%
Suchitepéquez*,Mazatenango,5635,23.32%,18524,76.68%
Suchitepéquez*,Cuyotenango,2478,29.20%,6009,70.80%
Suchitepéquez*,San Francisco Zapotitlán*,3634,38.73%,5748,61.27%
Suchitepéquez*,San Bernardino,1107,26.32%,3099,73.68%
Suchitepéquez*,San José El Ídolo*,1643,41.96%,2273,58.04%
Suchitepéquez*,Santo Domingo Suchitepéquez,3143,33.97%,6108,66.03%
Suchitepéquez*,San Lorenzo,1256,35.36%,2296,64.64%
Suchitepéquez*,Samayac,1436,24.01%,4544,75.99%
Suchitepéquez*,San Pablo Jocopilas,2091,32.86%,4273,67.14%
Suchitepéquez*,San Antonio Suchitepéquez*,5396,35.77%,9689,64.23%
Suchitepéquez*,San Miguel Panán,1161,35.42%,2117,64.58%
Suchitepéquez*,San Gabriel,910,33.14%,1836,66.86%
Suchitepéquez*,Chicacao,6460,44.20%,8157,55.80%
Suchitepéquez*,Patulul,4237,38.68%,6717,61.32%
Suchitepéquez*,Santa Bárbara,2318,35.23%,4262,64.77%
Suchitepéquez*,San Juan Bautista,758,38.19%,1227,61.81%
Suchitepéquez*,Santo Tomás La Unión,1446,33.87%,2823,66.13%
Suchitepéquez*,Zunilito,2239,54.15%,1896,45.85%
Suchitepéquez*,Pueblo Nuevo,1456,39.50%,2230,60.50%
Suchitepéquez*,Río Bravo,3154,44.83%,3882,55.17%
Suchitepéquez*,San José La Máquina,2072,37.71%,3423,62.29%
Retalhuleu,Nivel Departamental,28660,31.92%,61119,68.08%
Retalhuleu,Retalhuleu,7467,29.59%,17767,70.41%
Retalhuleu,San Sebastián,1495,18.03%,6797,81.97%
Retalhuleu,Santa Cruz Muluá,1530,36.20%,2696,63.80%
Retalhuleu,San Martín Zapotitlán,1042,25.14%,3102,74.86%
Retalhuleu,San Felipe,1869,24.14%,5872,75.86%
Retalhuleu,San Andrés Villa Seca,3887,36.21%,6848,63.79%
Retalhuleu,Champerico,2952,31.10%,6540,68.90%
Retalhuleu,Nuevo San Carlos,4681,46.02%,5491,53.98%
Retalhuleu,El Asintal,3737,38.36%,6006,61.64%
San Marcos*,Nivel Departamental,95807,39.92%,144211,60.08%
San Marcos*,San Marcos,2615,17.47%,12351,82.53%
San Marcos*,San Pedro Sacatepéquez,3082,14.40%,18327,85.60%
San Marcos*,San Antonio Sacatepéquez,511,12.82%,3474,87.18%
San Marcos*,Comitancillo,7465,65.22%,3980,34.78%
San Marcos*,San Miguel Ixtahuacán,5484,46.93%,6202,53.07%
San Marcos*,Concepción Tutuapa,8287,68.71%,3774,31.29%
San Marcos*,Tacaná,6909,55.84%,5463,44.16%
San Marcos*,Sibinal,1448,47.93%,1573,52.07%
San Marcos*,Tajumulco,4739,55.74%,3763,44.26%
San Marcos*,Tejutla,1617,20.09%,6433,79.91%
San Marcos*,San Rafael Pie De La Cuesta,2701,42.32%,3681,57.68%
San Marcos*,Nuevo Progreso,3487,42.63%,4693,57.37%
San Marcos*,El Tumbador,5486,53.57%,4754,46.43%
San Marcos*,El Rodeo,2564,48.25%,2750,51.75%
San Marcos*,Malacatán*,9412,38.06%,15318,61.94%
San Marcos*,Catarina,3254,37.41%,5444,62.59%
San Marcos*,Ayutla,2262,26.26%,6351,73.74%
San Marcos*,Ocós,556,22.24%,1944,77.76%
San Marcos*,San Pablo,5443,49.30%,5597,50.70%
San Marcos*,El Quetzal,1838,41.62%,2578,58.38%
San Marcos*,La Reforma,2927,55.25%,2371,44.75%
San Marcos*,Pajapita,2392,38.33%,3849,61.67%
San Marcos*,Ixchiguán,1532,42.47%,2075,57.53%
San Marcos*,San José Ojetenam,1729,45.52%,2069,54.48%
San Marcos*,San Cristóbal Cucho,702,17.02%,3423,82.98%
San Marcos*,Sipacapa,1814,49.21%,1872,50.79%
San Marcos*,Esquipulas Palo Gordo,1223,32.91%,2493,67.09%
San Marcos*,Río Blanco,569,31.01%,1266,68.99%
San Marcos*,San Lorenzo,1396,38.50%,2230,61.50%
San Marcos*,La Blanca,2363,36.49%,4113,63.51%
Huehuetenango,Nivel Departamental,104930,45.40%,126194,54.60%
Huehuetenango,Huehuetenango,5217,15.59%,28249,84.41%
Huehuetenango,Chiantla,4654,29.83%,10947,70.17%
Huehuetenango,Malacatancito,1431,29.65%,3395,70.35%
Huehuetenango,Cuilco,1970,33.26%,3953,66.74%
Huehuetenango,Nentón,4984,49.84%,5017,50.16%
Huehuetenango,San Pedro Necta,5634,71.42%,2255,28.58%
Huehuetenango,Jacaltenango,3553,42.29%,4849,57.71%
Huehuetenango,Soloma,1482,43.23%,1946,56.77%
Huehuetenango,Ixtahuacán,5817,57.83%,4241,42.17%
Huehuetenango,Santa Bárbara,4468,70.27%,1890,29.73%
Huehuetenango,La Libertad,2323,41.70%,3248,58.30%
Huehuetenango,La Democracia,3972,38.59%,6322,61.41%
Huehuetenango,San Miguel Acatán,3728,66.64%,1866,33.36%
Huehuetenango,San Rafael La Independencia,2095,50.76%,2032,49.24%
Huehuetenango,Todos Santos Cuchumatán,3906,57.48%,2889,42.52%
Huehuetenango,San Juan Atitán,1874,40.31%,2775,59.69%
Huehuetenango,Santa Eulalia,3958,65.88%,2050,34.12%
Huehuetenango,San Mateo Ixtatán,4402,62.35%,2658,37.65%
Huehuetenango,Colotenango,4812,55.97%,3785,44.03%
Huehuetenango,San Sebastián Huehuetenango,4265,53.43%,3717,46.57%
Huehuetenango,Tectitán,1288,74.02%,452,25.98%
Huehuetenango,Concepción Huista,2997,57.58%,2208,42.42%
Huehuetenango,San Juan Ixcoy,1221,52.29%,1114,47.71%
Huehuetenango,San Antonio Huista,2185,59.78%,1470,40.22%
Huehuetenango,San Sebastián Coatán,3310,50.00%,3310,50.00%
Huehuetenango,Barillas,8840,59.58%,5998,40.42%
Huehuetenango,Aguacatán,5644,48.98%,5878,51.02%
Huehuetenango,San Rafael Petzal,1669,47.41%,1851,52.59%
Huehuetenango,San Gaspar Ixchil,1067,60.18%,706,39.82%
Huehuetenango,Santiago Chimaltenango,723,26.47%,2008,73.53%
Huehuetenango,Santa Ana Huista,901,38.89%,1416,61.11%
Huehuetenango,Unión Cantinil,540,24.12%,1699,75.88%
Quiché*,Nivel Departamental,124385,53.07%,110010,46.93%
Quiché*,Santa Cruz Del Quiché,7340,31.65%,15852,68.35%
Quiché*,Chiché,3824,58.02%,2767,41.98%
Quiché*,Chinique,1674,48.42%,1783,51.58%
Quiché*,Zacualpa,5463,48.23%,5863,51.77%
Quiché*,Chajul,9296,72.47%,3532,27.53%
Quiché*,Chichicastenango,11265,35.39%,20563,64.61%
Quiché*,Patzité,906,48.32%,969,51.68%
Quiché*,San Antonio Ilotenango,4860,63.40%,2806,36.60%
Quiché*,San Pedro Jocopilas,1986,30.05%,4622,69.95%
Quiché*,Cunén,5099,64.10%,2856,35.90%
Quiché*,San Juan Cotzal,4951,54.68%,4104,45.32%
Quiché*,Joyabaj*,12999,61.12%,8269,38.88%
Quiché*,Nebaj,11630,51.00%,11174,49.00%
Quiché*,San Andrés Sajcabajá,4903,66.31%,2491,33.69%
Quiché*,Uspantán,7208,56.31%,5593,43.69%
Quiché*,Sacapulas,6880,70.83%,2833,29.17%
Quiché*,San Bartolomé Jocotenango,1191,41.34%,1690,58.66%
Quiché*,Canillá,1010,30.73%,2277,69.27%
Quiché*,Chicamán,4664,62.03%,2855,37.97%
Quiché*,Ixcán,16597,78.35%,4585,21.65%
Quiché*,Pachalum,639,20.19%,2526,79.81%
Baja Verapaz,Nivel Departamental,30529,42.22%,41780,57.78%
Baja Verapaz,Salamá,4708,26.65%,12958,73.35%
Baja Verapaz,San Miguel Chicaj,2812,34.92%,5241,65.08%
Baja Verapaz,Rabinal,5384,49.01%,5602,50.99%
Baja Verapaz,Cubulco,6596,63.67%,3764,36.33%
Baja Verapaz,Granados,1449,36.12%,2563,63.88%
Baja Verapaz,El Chol,739,24.33%,2299,75.67%
Baja Verapaz,San Jerónimo,1358,21.67%,4910,78.33%
Baja Verapaz,Purulhá,7483,62.75%,4443,37.25%
Alta Verapaz,Nivel Departamental,171557,55.70%,136437,44.30%
Alta Verapaz,Cobán,29212,46.83%,33168,53.17%
Alta Verapaz,Santa Cruz Verapaz,3417,42.48%,4626,57.52%
Alta Verapaz,San Cristóbal Verapaz,7357,40.04%,11019,59.96%
Alta Verapaz,Tactic,4942,44.87%,6073,55.13%
Alta Verapaz,Tamahú,3676,55.42%,2957,44.58%
Alta Verapaz,Tucurú,7057,52.09%,6490,47.91%
Alta Verapaz,Panzós,12344,81.22%,2855,18.78%
Alta Verapaz,Senahú,13128,67.01%,6464,32.99%
Alta Verapaz,San Pedro Carchá,28589,56.04%,22425,43.96%
Alta Verapaz,San Juan Chamelco,6881,43.21%,9042,56.79%
Alta Verapaz,Lanquín,2992,46.21%,3483,53.79%
Alta Verapaz,Cahabón,12942,74.28%,4482,25.72%
Alta Verapaz,Chisec,12338,58.96%,8589,41.04%
Alta Verapaz,Chahal,5869,80.87%,1388,19.13%
Alta Verapaz,Fray Bartolomé De Las Casas,9119,63.09%,5334,36.91%
Alta Verapaz,Santa Catalina La Tinta,5176,46.38%,5985,53.62%
Alta Verapaz,Raxruhá,6518,76.01%,2057,23.99%
Petén,Nivel Departamental,50561,44.98%,61847,55.02%
Petén,Flores,2912,29.80%,6859,70.20%
Petén,San José,1145,55.39%,922,44.61%
Petén,San Benito,4808,37.89%,7880,62.11%
Petén,San Andrés,1619,30.50%,3690,69.50%
Petén,La Libertad,5235,44.79%,6453,55.21%
Petén,San Francisco,2193,54.48%,1832,45.52%
Petén,Santa Ana,1711,32.33%,3582,67.67%
Petén,Dolores,3011,52.40%,2735,47.60%
Petén,San Luis,7495,52.31%,6833,47.69%
Petén,Sayaxché,9750,63.72%,5552,36.28%
Petén,Melchor De Mencos,3400,49.96%,3405,50.04%
Petén,Poptún,3893,37.61%,6459,62.39%
Petén,Las Cruces,2554,41.21%,3644,58.79%
Petén,El Chal,835,29.44%,2001,70.56%
Izabal,Nivel Departamental,35581,34.04%,68942,65.96%
Izabal,Puerto Barrios,5394,16.99%,26352,83.01%
Izabal,Lívingston,7541,49.55%,7679,50.45%
Izabal,El Estor,13160,66.24%,6708,33.76%
Izabal,Morales,5427,22.30%,18914,77.70%
Izabal,Los Amates,4059,30.41%,9289,69.59%
Zacapa,Nivel Departamental,22358,27.73%,58277,72.27%
Zacapa,Zacapa,3224,17.23%,15486,82.77%
Zacapa,Estanzuela,955,19.62%,3912,80.38%
Zacapa,Río Hondo,1013,13.09%,6724,86.91%
Zacapa,Gualán,4016,26.49%,11144,73.51%
Zacapa,Teculután,1200,17.58%,5627,82.42%
Zacapa,Usumatlán,1306,29.96%,3053,70.04%
Zacapa,Cabañas,2001,43.05%,2647,56.95%
Zacapa,San Diego,818,29.95%,1913,70.05%
Zacapa,La Unión,5379,61.82%,3322,38.18%
Zacapa,Huité,1414,43.24%,1856,56.76%
Zacapa,San Jorge,1032,28.47%,2593,71.53%
Chiquimula,Nivel Departamental,49996,44.78%,61656,55.22%
Chiquimula,Chiquimula,10039,32.81%,20557,67.19%
Chiquimula,San José La Arada,795,28.87%,1959,71.13%
Chiquimula,San Juan Ermita,3114,58.82%,2180,41.18%
Chiquimula,Jocotán,13338,82.18%,2892,17.82%
Chiquimula,Camotán,7622,61.48%,4776,38.52%
Chiquimula,Olopa,4288,59.32%,2941,40.68%
Chiquimula,Esquipulas,2227,19.09%,9438,80.91%
Chiquimula,Concepción Las Minas,586,14.62%,3421,85.38%
Chiquimula,Quezaltepeque,3621,35.10%,6694,64.90%
Chiquimula,San Jacinto,2227,54.53%,1857,45.47%
Chiquimula,Ipala,2139,30.21%,4941,69.79%
Jalapa,Nivel Departamental,34064,39.10%,53055,60.90%
Jalapa,Jalapa,13364,35.85%,23911,64.15%
Jalapa,San Pedro Pinula,5565,53.51%,4835,46.49%
Jalapa,San Luis Jilotepeque,3345,33.38%,6675,66.62%
Jalapa,San Manuel Chaparrón,1293,39.74%,1961,60.26%
Jalapa,San Carlos Alzatate,4234,70.84%,1743,29.16%
Jalapa,Monjas,2381,24.11%,7496,75.89%
Jalapa,Mataquescuintla,3882,37.63%,6434,62.37%
Jutiapa*,Nivel Departamental,53864,38.39%,86426,61.61%
Jutiapa*,Jutiapa,10415,35.45%,18968,64.55%
Jutiapa*,El Progreso,2273,25.01%,6815,74.99%
Jutiapa*,Santa Catarina Mita*,2890,25.21%,8573,74.79%
Jutiapa*,Agua Blanca,1527,27.92%,3942,72.08%
Jutiapa*,Asunción Mita,3586,26.32%,10040,73.68%
Jutiapa*,Yupiltepeque,2329,52.74%,2087,47.26%
Jutiapa*,Atescatempa,2604,41.74%,3635,58.26%
Jutiapa*,Jerez,1006,45.32%,1214,54.68%
Jutiapa*,El Adelanto,946,46.56%,1086,53.44%
Jutiapa*,Zapotitlán,1538,50.68%,1497,49.32%
Jutiapa*,Comapa,3953,47.19%,4424,52.81%
Jutiapa*,Jalpatagua,4537,44.89%,5571,55.11%
Jutiapa*,Conguaco*,4835,62.11%,2950,37.89%
Jutiapa*,Moyuta,5318,43.87%,6805,56.13%
Jutiapa*,Pasaco,1172,39.68%,1782,60.32%
Jutiapa*,San José Acatempa,1732,41.16%,2476,58.84%
Jutiapa*,Quesada,3203,41.25%,4561,58.75%
