A (...) Received Remittances From People Living Abroad?,How Much Did You Receive (...) Remittances From People Living Abroad?,Department,Unique Household Number
2,0,1,59
2,0,1,60
2,0,1,61
2,0,1,61
2,0,1,61
2,0,1,61
1,4590,1,62
2,0,1,62
0,0,1,62
0,0,1,62
2,0,1,63
2,0,1,63
0,0,1,63
2,0,1,63
1,2325,1,63
2,0,1,63
1,9000,1,64
2,0,1,64
2,0,1,64
2,0,1,65
2,0,1,65
2,0,1,65
2,0,1,66
2,0,1,66
2,0,1,66
2,0,1,66
2,0,1,66
2,0,1,66
2,0,1,67
2,0,1,67
2,0,1,67
2,0,1,67
2,0,1,67
0,0,1,67
2,0,1,68
2,0,1,68
2,0,1,68
2,0,1,68
2,0,1,68
2,0,1,69
2,0,1,69
2,0,1,69
2,0,1,70
2,0,1,71
2,0,1,71
2,0,1,71
2,0,1,72
2,0,1,72
2,0,1,72
2,0,1,72
2,0,1,72
0,0,1,72
2,0,1,73
2,0,1,73
2,0,1,73
2,0,1,73
2,0,1,73
2,0,1,74
2,0,1,74
2,0,1,74
2,0,1,75
2,0,1,76
2,0,1,77
2,0,1,77
2,0,1,77
2,0,1,77
2,0,1,77
2,0,1,78
2,0,1,78
2,0,1,78
2,0,1,78
2,0,1,78
2,0,1,79
2,0,1,79
2,0,1,79
2,0,1,79
2,0,1,79
2,0,1,80
2,0,1,80
2,0,1,80
0,0,1,80
2,0,1,80
2,0,1,80
2,0,1,81
2,0,1,81
2,0,1,81
2,0,1,82
2,0,1,82
2,0,1,82
2,0,1,82
2,0,1,82
2,0,1,82
0,0,1,82
2,0,1,83
2,0,1,83
0,0,1,83
2,0,1,83
2,0,1,84
2,0,1,84
2,0,1,84
2,0,1,84
2,0,1,85
1,1400,1,85
2,0,1,85
0,0,1,85
2,0,1,86
2,0,1,87
2,0,1,87
2,0,1,87
2,0,1,88
1,3000,1,88
2,0,1,89
2,0,1,89
2,0,1,89
2,0,1,89
2,0,1,89
2,0,1,89
0,0,1,89
2,0,1,90
2,0,1,90
0,0,1,90
0,0,1,90
2,0,1,91
2,0,1,91
2,0,1,91
2,0,1,91
0,0,1,91
2,0,1,92
2,0,1,92
2,0,1,92
2,0,1,92
0,0,1,92
2,0,1,92
2,0,1,93
2,0,1,93
2,0,1,93
2,0,1,94
2,0,1,94
2,0,1,94
2,0,1,94
2,0,1,94
2,0,1,94
2,0,1,94
2,0,1,95
2,0,1,95
0,0,1,95
2,0,1,96
2,0,1,96
2,0,1,96
2,0,1,96
2,0,1,96
2,0,1,96
2,0,1,97
2,0,1,97
0,0,1,97
2,0,1,98
2,0,1,98
2,0,1,98
0,0,1,98
2,0,1,99
2,0,1,99
2,0,1,99
0,0,1,99
2,0,1,100
2,0,1,101
2,0,1,101
2,0,1,101
2,0,1,102
2,0,1,102
2,0,1,103
2,0,1,103
2,0,1,103
2,0,1,104
2,0,1,104
0,0,1,104
0,0,1,104
0,0,1,104
2,0,1,105
2,0,1,105
0,0,1,105
2,0,1,106
2,0,1,106
2,0,1,107
2,0,1,107
2,0,1,107
2,0,1,108
2,0,1,108
2,0,1,109
2,0,1,109
2,0,1,109
0,0,1,109
2,0,1,110
0,0,1,110
2,0,1,110
2,0,1,110
2,0,1,111
2,0,1,111
2,0,1,111
0,0,1,111
2,0,1,112
2,0,1,112
2,0,1,112
2,0,1,112
2,0,1,112
2,0,1,113
2,0,1,113
2,0,1,113
0,0,1,113
2,0,1,113
2,0,1,114
2,0,1,114
2,0,1,114
2,0,1,114
0,0,1,114
2,0,1,115
2,0,1,115
2,0,1,115
2,0,1,115
2,0,1,116
2,0,1,116
2,0,1,116
0,0,1,116
2,0,1,117
2,0,1,117
2,0,1,117
2,0,1,118
2,0,1,118
2,0,1,118
2,0,1,118
2,0,1,118
2,0,1,119
2,0,1,119
2,0,1,120
2,0,1,120
2,0,1,120
0,0,1,120
0,0,1,120
2,0,1,120
2,0,1,121
2,0,1,121
2,0,1,121
2,0,1,122
2,0,1,122
2,0,1,122
2,0,1,122
2,0,1,122
0,0,1,122
0,0,1,122
2,0,1,123
2,0,1,123
2,0,1,124
2,0,1,124
2,0,1,124
2,0,1,124
2,0,1,125
2,0,1,125
2,0,1,125
0,0,1,125
2,0,1,126
2,0,1,126
2,0,1,127
2,0,1,127
0,0,1,127
2,0,1,128
2,0,1,129
2,0,1,129
2,0,1,129
2,0,1,129
2,0,1,129
2,0,1,129
2,0,1,129
2,0,1,129
2,0,1,129
0,0,1,129
2,0,1,130
2,0,1,130
2,0,1,130
2,0,1,130
2,0,1,130
2,0,1,131
2,0,1,131
2,0,1,132
2,0,1,132
0,0,1,132
2,0,1,133
1,1100,1,133
2,0,1,133
0,0,1,133
2,0,1,134
2,0,1,135
2,0,1,135
2,0,1,135
2,0,1,135
2,0,1,135
2,0,1,135
2,0,1,135
2,0,1,136
2,0,1,136
2,0,1,137
2,0,1,137
2,0,1,137
2,0,1,138
2,0,1,138
2,0,1,138
0,0,1,138
0,0,1,138
2,0,1,138
2,0,1,138
0,0,1,138
0,0,1,138
2,0,1,138
2,0,1,139
2,0,1,139
0,0,1,139
2,0,1,139
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,140
2,0,1,141
2,0,1,141
2,0,1,141
2,0,1,141
2,0,1,141
2,0,1,142
2,0,1,142
2,0,1,142
2,0,1,143
2,0,1,143
2,0,1,143
2,0,1,143
2,0,1,143
2,0,1,143
2,0,1,144
2,0,1,144
0,0,1,144
2,0,1,144
2,0,1,144
2,0,1,144
0,0,1,144
2,0,1,145
2,0,1,145
2,0,1,145
2,0,1,145
2,0,1,145
0,0,1,145
0,0,1,145
0,0,1,145
2,0,1,146
2,0,1,146
2,0,1,146
2,0,1,146
2,0,1,146
2,0,1,146
2,0,1,146
0,0,1,146
0,0,1,146
2,0,1,147
2,0,1,147
2,0,1,147
2,0,1,147
2,0,1,148
2,0,1,148
2,0,1,148
2,0,1,148
1,2343,1,149
1,2343,1,149
1,2343,1,149
0,0,1,149
2,0,1,150
2,0,1,150
2,0,1,150
2,0,1,150
2,0,1,150
2,0,1,150
2,0,1,151
2,0,1,151
2,0,1,151
2,0,1,151
2,0,1,152
2,0,1,152
2,0,1,153
2,0,1,153
2,0,1,153
2,0,1,153
2,0,1,154
2,0,1,154
2,0,1,154
2,0,1,154
2,0,1,154
2,0,1,155
2,0,1,155
2,0,1,155
2,0,1,155
0,0,1,155
2,0,1,156
2,0,1,156
0,0,1,156
0,0,1,156
1,3000,1,157
2,0,1,157
2,0,1,157
2,0,1,158
2,0,1,158
2,0,1,158
2,0,1,159
2,0,1,159
2,0,1,159
2,0,1,160
2,0,1,160
2,0,1,160
2,0,1,160
2,0,1,160
2,0,1,160
2,0,1,161
2,0,1,162
2,0,1,162
2,0,1,163
2,0,1,163
2,0,1,163
2,0,1,163
2,0,1,163
2,0,1,163
2,0,1,164
2,0,1,165
2,0,1,166
2,0,1,166
2,0,1,166
2,0,1,166
2,0,1,166
0,0,1,166
0,0,1,166
2,0,1,167
2,0,1,167
2,0,1,167
2,0,1,167
2,0,1,167
2,0,1,168
2,0,1,168
2,0,1,168
0,0,1,168
2,0,1,169
2,0,1,170
2,0,1,170
2,0,1,171
2,0,1,171
2,0,1,171
0,0,1,171
2,0,1,172
2,0,1,172
2,0,1,172
2,0,1,172
2,0,1,172
2,0,1,173
2,0,1,173
2,0,1,174
2,0,1,174
2,0,1,174
0,0,1,174
2,0,1,175
2,0,1,175
2,0,1,175
2,0,1,175
0,0,1,175
2,0,1,176
2,0,1,176
2,0,1,176
2,0,1,176
2,0,1,176
0,0,1,176
2,0,1,177
2,0,1,177
2,0,1,177
2,0,1,177
0,0,1,177
2,0,1,178
2,0,1,179
2,0,1,179
2,0,1,180
2,0,1,180
2,0,1,180
2,0,1,180
2,0,1,181
2,0,1,181
2,0,1,181
2,0,1,182
2,0,1,183
2,0,1,183
2,0,1,184
2,0,1,184
2,0,1,184
2,0,1,185
2,0,1,185
2,0,1,185
2,0,1,185
2,0,1,185
2,0,1,186
2,0,1,186
2,0,1,186
2,0,1,187
2,0,1,187
2,0,1,187
2,0,1,187
2,0,1,188
2,0,1,189
2,0,1,189
2,0,1,190
2,0,1,190
2,0,1,190
2,0,1,190
2,0,1,190
2,0,1,191
2,0,1,191
2,0,1,191
2,0,1,191
2,0,1,192
2,0,1,192
2,0,1,192
2,0,1,192
2,0,1,192
0,0,1,192
2,0,1,192
2,0,1,192
0,0,1,192
2,0,1,193
2,0,1,193
0,0,1,193
2,0,1,194
2,0,1,194
0,0,1,194
2,0,1,195
2,0,1,195
2,0,1,196
2,0,1,196
0,0,1,196
0,0,1,196
2,0,1,197
2,0,1,197
2,0,1,197
2,0,1,197
2,0,1,197
2,0,1,197
2,0,1,198
2,0,1,198
2,0,1,198
0,0,1,198
2,0,1,199
2,0,1,200
2,0,1,200
0,0,1,200
0,0,1,200
2,0,1,201
2,0,1,201
2,0,1,201
2,0,1,202
2,0,1,202
2,0,1,202
2,0,1,202
2,0,1,203
2,0,1,203
2,0,1,203
2,0,1,203
2,0,1,203
2,0,1,204
2,0,1,205
2,0,1,205
2,0,1,205
2,0,1,205
2,0,1,206
2,0,1,206
2,0,1,206
2,0,1,206
2,0,1,207
2,0,1,207
2,0,1,207
0,0,1,207
0,0,1,207
2,0,1,208
2,0,1,208
2,0,1,209
2,0,1,209
2,0,1,209
2,0,1,210
2,0,1,210
2,0,1,210
2,0,1,211
2,0,1,211
2,0,1,211
2,0,1,211
2,0,1,212
2,0,1,212
0,0,1,212
2,0,1,213
2,0,1,213
2,0,1,214
2,0,1,214
2,0,1,214
2,0,1,214
2,0,1,214
2,0,1,215
2,0,1,215
2,0,1,215
2,0,1,215
2,0,1,216
2,0,1,216
2,0,1,217
2,0,1,218
2,0,1,218
2,0,1,219
2,0,1,219
2,0,1,220
2,0,1,220
0,0,1,220
2,0,1,221
2,0,1,221
0,0,1,221
2,0,1,222
2,0,1,222
0,0,1,222
2,0,1,223
2,0,1,223
0,0,1,223
0,0,1,223
2,0,1,223
2,0,1,223
2,0,1,224
2,0,1,224
2,0,1,224
2,0,1,224
2,0,1,224
2,0,1,225
2,0,1,225
0,0,1,225
2,0,1,226
2,0,1,226
2,0,1,226
2,0,1,226
2,0,1,226
2,0,1,226
2,0,1,227
2,0,1,227
2,0,1,227
2,0,1,228
2,0,1,228
2,0,1,228
2,0,1,229
2,0,1,229
1,1000,1,229
2,0,1,229
2,0,1,230
2,0,1,230
0,0,1,230
2,0,1,231
2,0,1,231
0,0,1,231
2,0,1,231
2,0,1,232
2,0,1,232
0,0,1,232
0,0,1,232
2,0,1,232
2,0,1,232
2,0,1,233
2,0,1,233
0,0,1,233
0,0,1,233
2,0,1,234
2,0,1,234
0,0,1,234
0,0,1,234
0,0,1,234
2,0,1,234
2,0,1,235
2,0,1,235
2,0,1,235
2,0,1,236
2,0,1,236
0,0,1,236
0,0,1,236
2,0,1,237
0,0,1,237
2,0,1,237
2,0,1,238
2,0,1,238
0,0,1,238
0,0,1,238
2,0,1,239
2,0,1,239
2,0,1,239
2,0,1,239
2,0,1,240
2,0,1,240
0,0,1,240
0,0,1,240
2,0,1,241
2,0,1,241
2,0,1,241
2,0,1,241
0,0,1,241
0,0,1,241
2,0,1,242
2,0,1,242
2,0,1,243
2,0,1,243
0,0,1,243
2,0,1,244
2,0,1,244
2,0,1,244
2,0,1,244
2,0,1,245
2,0,1,245
2,0,1,245
2,0,1,245
1,4500,1,246
2,0,1,247
2,0,1,247
0,0,1,247
2,0,1,248
2,0,1,248
2,0,1,248
2,0,1,248
2,0,1,248
2,0,1,248
2,0,1,248
2,0,1,248
2,0,1,249
2,0,1,249
2,0,1,249
0,0,1,249
0,0,1,249
2,0,1,250
2,0,1,250
2,0,1,251
2,0,1,251
2,0,1,251
2,0,1,251
2,0,1,251
2,0,1,252
2,0,1,252
2,0,1,252
0,0,1,252
2,0,1,253
2,0,1,253
0,0,1,253
2,0,1,254
2,0,1,254
2,0,1,254
2,0,1,255
2,0,1,256
2,0,1,256
2,0,1,256
2,0,1,257
2,0,1,257
2,0,1,257
2,0,1,258
2,0,1,258
1,7700,1,259
2,0,1,259
2,0,1,259
2,0,1,260
2,0,1,260
2,0,1,260
2,0,1,261
2,0,1,261
2,0,1,261
2,0,1,262
2,0,1,262
0,0,1,262
2,0,1,263
2,0,1,264
2,0,1,264
2,0,1,264
2,0,1,264
2,0,1,264
2,0,1,264
2,0,1,265
2,0,1,265
2,0,1,265
2,0,1,265
2,0,1,265
2,0,1,265
1,3342,1,266
2,0,1,266
2,0,1,267
2,0,1,267
2,0,1,268
2,0,1,268
2,0,1,268
2,0,1,268
2,0,1,268
2,0,1,269
2,0,1,269
2,0,1,269
2,0,1,269
2,0,1,269
2,0,1,269
1,4668,1,270
2,0,1,270
2,0,1,270
2,0,1,270
2,0,1,271
2,0,1,271
2,0,1,271
2,0,1,271
2,0,1,271
2,0,1,271
2,0,1,271
2,0,1,272
2,0,1,272
2,0,1,272
2,0,1,272
0,0,1,272
2,0,1,273
2,0,1,274
2,0,1,274
2,0,1,274
2,0,1,274
2,0,1,275
2,0,1,275
2,0,1,275
2,0,1,275
2,0,1,275
2,0,1,276
2,0,1,276
2,0,1,276
2,0,1,276
2,0,1,276
2,0,1,276
2,0,1,276
2,0,1,277
2,0,1,277
0,0,1,277
0,0,1,277
0,0,1,277
0,0,1,277
2,0,1,278
2,0,1,278
2,0,1,278
2,0,1,278
2,0,1,278
2,0,1,279
2,0,1,279
2,0,1,279
2,0,1,279
2,0,1,279
2,0,1,279
2,0,1,279
0,0,1,279
0,0,1,279
0,0,1,279
2,0,1,280
2,0,1,281
2,0,1,281
2,0,1,281
2,0,1,282
2,0,1,282
2,0,1,282
2,0,1,283
2,0,1,283
2,0,1,284
2,0,1,284
2,0,1,284
2,0,1,284
2,0,1,284
2,0,1,284
2,0,1,284
0,0,1,284
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,285
2,0,1,286
2,0,1,286
0,0,1,286
0,0,1,286
2,0,1,286
2,0,1,287
2,0,1,287
2,0,1,287
2,0,1,287
2,0,1,287
0,0,1,287
2,0,1,288
2,0,1,288
2,0,1,289
2,0,1,289
2,0,1,289
2,0,1,290
2,0,1,290
2,0,1,290
0,0,1,290
2,0,1,291
2,0,1,291
0,0,1,291
0,0,1,291
2,0,1,292
0,0,1,292
0,0,1,292
2,0,1,293
2,0,1,293
2,0,1,293
2,0,1,293
2,0,1,293
2,0,1,293
2,0,1,293
0,0,1,293
0,0,1,293
2,0,1,294
2,0,1,294
2,0,1,295
2,0,1,296
2,0,1,297
2,0,1,297
2,0,1,297
2,0,1,297
2,0,1,297
0,0,1,297
2,0,1,298
2,0,1,298
0,0,1,298
0,0,1,298
2,0,1,299
2,0,1,299
2,0,1,299
2,0,1,299
2,0,1,299
2,0,1,299
2,0,1,299
2,0,1,300
2,0,1,300
0,0,1,300
0,0,1,300
1,390,1,301
2,0,1,301
2,0,1,302
2,0,1,302
2,0,1,303
2,0,1,303
2,0,1,303
2,0,1,303
2,0,1,303
2,0,1,303
2,0,1,303
2,0,1,303
2,0,1,304
2,0,1,304
2,0,1,305
2,0,1,305
2,0,1,305
2,0,1,305
0,0,1,305
2,0,1,306
2,0,1,306
2,0,1,306
1,1200,1,307
2,0,1,307
2,0,1,308
1,2334,1,308
2,0,1,308
0,0,1,308
2,0,1,309
2,0,1,309
2,0,1,309
0,0,1,309
2,0,1,309
2,0,1,309
2,0,1,310
2,0,1,310
2,0,1,310
2,0,1,310
2,0,1,311
2,0,1,311
2,0,1,311
0,0,1,311
2,0,1,311
2,0,1,312
2,0,1,312
2,0,1,312
2,0,1,312
2,0,1,312
1,2310,1,313
2,0,1,313
2,0,1,314
2,0,1,314
2,0,1,314
2,0,1,315
2,0,1,315
2,0,1,315
2,0,1,316
2,0,1,316
2,0,1,316
2,0,1,316
2,0,1,316
2,0,1,316
2,0,1,317
2,0,1,317
0,0,1,317
0,0,1,317
0,0,1,317
2,0,1,317
2,0,1,318
2,0,1,318
0,0,1,318
0,0,1,318
2,0,1,319
2,0,1,319
1,9000,1,320
2,0,1,320
2,0,1,321
2,0,1,321
0,0,1,321
2,0,1,322
2,0,1,322
2,0,1,322
2,0,1,322
0,0,1,322
1,2250,1,323
2,0,1,323
0,0,1,323
2,0,1,324
2,0,1,324
2,0,1,324
2,0,1,324
2,0,1,324
2,0,1,325
2,0,1,326
2,0,1,326
2,0,1,326
2,0,1,326
2,0,1,326
0,0,1,326
0,0,1,326
2,0,1,327
2,0,1,327
2,0,1,327
2,0,1,327
2,0,1,327
2,0,1,328
2,0,1,328
2,0,1,328
2,0,1,328
2,0,1,328
0,0,1,328
2,0,1,329
2,0,1,330
2,0,1,331
2,0,1,331
2,0,1,331
2,0,1,331
2,0,1,331
2,0,1,331
2,0,1,331
2,0,1,332
2,0,1,332
0,0,1,332
1,800,1,333
2,0,1,333
2,0,1,333
0,0,1,333
0,0,1,333
2,0,1,334
2,0,1,334
2,0,1,334
2,0,1,334
2,0,1,335
2,0,1,335
2,0,1,336
2,0,1,337
2,0,1,337
2,0,1,338
2,0,1,338
2,0,1,338
2,0,1,338
2,0,1,338
2,0,1,339
2,0,1,339
2,0,1,339
0,0,1,339
2,0,1,340
2,0,1,340
0,0,1,340
2,0,1,341
2,0,1,341
2,0,1,341
2,0,1,341
2,0,1,341
2,0,1,342
2,0,1,342
2,0,1,342
0,0,1,342
0,0,1,342
2,0,1,343
2,0,1,343
2,0,1,343
2,0,1,343
2,0,1,343
2,0,1,343
2,0,1,344
2,0,1,344
0,0,1,344
2,0,1,345
2,0,1,345
2,0,1,345
2,0,1,345
2,0,1,346
2,0,1,346
0,0,1,346
2,0,1,346
2,0,1,347
2,0,1,347
2,0,1,347
0,0,1,347
2,0,1,348
2,0,1,348
0,0,1,348
0,0,1,348
2,0,1,349
2,0,1,350
2,0,1,350
2,0,1,350
2,0,1,350
2,0,1,350
2,0,1,350
2,0,1,351
2,0,1,351
2,0,1,351
2,0,1,351
2,0,1,351
2,0,1,352
2,0,1,352
0,0,1,352
0,0,1,352
2,0,1,353
2,0,1,353
2,0,1,353
2,0,1,354
2,0,1,354
0,0,1,354
2,0,1,354
2,0,1,355
2,0,1,355
2,0,1,356
2,0,1,356
2,0,1,357
2,0,1,357
2,0,1,357
2,0,1,357
2,0,1,357
2,0,1,358
0,0,1,358
2,0,1,359
2,0,1,359
0,0,1,359
0,0,1,359
2,0,1,360
2,0,1,360
0,0,1,360
0,0,1,360
2,0,1,361
2,0,1,361
2,0,1,362
2,0,1,362
2,0,1,362
2,0,1,362
2,0,1,362
0,0,1,362
2,0,1,363
2,0,1,363
2,0,1,363
0,0,1,363
0,0,1,363
2,0,1,364
2,0,1,364
2,0,1,364
2,0,1,364
2,0,1,364
2,0,1,365
2,0,1,365
2,0,1,365
2,0,1,365
2,0,1,366
2,0,1,366
2,0,1,366
2,0,1,366
2,0,1,366
2,0,1,367
2,0,1,367
2,0,1,367
2,0,1,367
2,0,1,367
2,0,1,367
2,0,1,368
2,0,1,368
2,0,1,368
2,0,1,368
2,0,1,369
2,0,1,369
2,0,1,369
2,0,1,369
2,0,1,369
2,0,1,369
2,0,1,369
1,9000,1,370
2,0,1,370
2,0,1,370
2,0,1,370
0,0,1,370
0,0,1,370
2,0,1,370
2,0,1,371
2,0,1,371
2,0,1,371
2,0,1,371
2,0,1,371
2,0,1,371
2,0,1,372
2,0,1,372
2,0,1,372
2,0,1,372
2,0,1,372
2,0,1,372
0,0,1,372
2,0,1,373
2,0,1,373
2,0,1,373
2,0,1,374
2,0,1,375
2,0,1,375
2,0,1,376
2,0,1,376
2,0,1,376
2,0,1,377
2,0,1,377
2,0,1,377
2,0,1,377
2,0,1,377
2,0,1,378
2,0,1,378
2,0,1,378
2,0,1,378
2,0,1,378
2,0,1,378
0,0,1,378
2,0,1,379
2,0,1,379
2,0,1,380
2,0,1,381
2,0,1,382
2,0,1,382
2,0,1,382
2,0,1,382
2,0,1,383
2,0,1,384
2,0,1,384
2,0,1,384
2,0,1,384
2,0,1,385
2,0,1,385
2,0,1,385
2,0,1,385
2,0,1,385
0,0,1,385
2,0,1,386
2,0,1,386
2,0,1,386
2,0,1,386
2,0,1,387
2,0,1,387
2,0,1,387
2,0,1,388
2,0,1,388
0,0,1,388
2,0,1,388
2,0,1,388
2,0,1,389
2,0,1,389
2,0,1,389
2,0,1,390
2,0,1,390
2,0,1,390
2,0,1,390
2,0,1,390
2,0,1,391
2,0,1,391
2,0,1,391
0,0,1,391
1,700,1,392
2,0,1,392
2,0,1,392
2,0,1,392
2,0,1,393
2,0,1,393
2,0,1,393
2,0,1,393
2,0,1,394
2,0,1,394
0,0,1,394
2,0,1,395
2,0,1,396
2,0,1,396
0,0,1,396
2,0,1,397
2,0,1,397
2,0,1,397
2,0,1,397
2,0,1,397
0,0,1,397
2,0,1,398
2,0,1,398
2,0,1,398
2,0,1,398
2,0,1,398
0,0,1,398
2,0,1,399
2,0,1,399
2,0,1,399
2,0,1,399
0,0,1,399
2,0,1,400
2,0,1,400
2,0,1,400
2,0,1,400
1,200,1,400
2,0,1,400
2,0,1,400
2,0,1,401
2,0,1,401
0,0,1,401
2,0,1,402
2,0,1,402
2,0,1,403
2,0,1,403
2,0,1,403
0,0,1,403
0,0,1,403
2,0,1,404
2,0,1,404
2,0,1,404
0,0,1,404
2,0,1,405
2,0,1,405
2,0,1,405
0,0,1,405
2,0,1,406
2,0,1,406
2,0,1,406
2,0,1,407
2,0,1,407
0,0,1,407
2,0,1,407
2,0,1,408
2,0,1,408
2,0,1,408
2,0,1,408
0,0,1,408
0,0,1,408
2,0,1,409
2,0,1,409
2,0,1,409
2,0,1,409
2,0,1,409
2,0,1,410
2,0,1,410
2,0,1,410
2,0,1,410
2,0,1,411
2,0,1,411
0,0,1,411
2,0,1,412
2,0,1,412
2,0,1,412
2,0,1,413
2,0,1,413
2,0,1,413
2,0,1,413
2,0,1,413
2,0,1,414
0,0,1,414
2,0,1,414
2,0,1,414
2,0,1,414
0,0,1,414
2,0,1,415
2,0,1,415
2,0,1,415
2,0,1,415
2,0,1,416
2,0,1,416
2,0,1,416
2,0,1,416
2,0,1,417
2,0,1,417
2,0,1,417
0,0,1,417
2,0,1,418
2,0,1,419
2,0,1,419
2,0,1,419
0,0,1,419
0,0,1,419
2,0,1,420
2,0,1,420
0,0,1,420
2,0,1,421
2,0,1,421
2,0,1,421
2,0,1,421
0,0,1,421
2,0,1,431
2,0,1,432
2,0,1,432
2,0,1,433
2,0,1,433
2,0,1,433
2,0,1,434
2,0,1,434
2,0,1,434
2,0,1,435
2,0,1,435
2,0,1,435
2,0,1,436
2,0,1,436
2,0,1,436
2,0,1,436
2,0,1,436
2,0,1,437
2,0,1,437
2,0,1,437
0,0,1,437
0,0,1,437
1,780,1,438
2,0,1,438
0,0,1,438
2,0,1,439
2,0,1,439
2,0,1,440
2,0,1,440
2,0,1,441
2,0,1,441
2,0,1,453
2,0,1,453
2,0,1,453
2,0,1,453
2,0,1,453
2,0,1,453
2,0,1,453
1,4800,1,454
2,0,1,454
0,0,1,454
2,0,1,455
2,0,1,455
2,0,1,456
2,0,1,456
2,0,1,457
2,0,1,457
2,0,1,457
2,0,1,457
2,0,1,457
0,0,1,457
2,0,1,458
2,0,1,458
2,0,1,458
2,0,1,458
2,0,1,459
2,0,1,459
2,0,1,459
2,0,1,459
